Player,Span,Matches,Innings,Not Out,Runs Scored,Highest Score,Average,Bowls Faced,Strike Rate,100,50,0,4s,6s,Economy Rate,Maidens Bowled,Wickets Taken
V Kohli (IND),2012-2022,0.6363636363636365,0.6333333333333333,0.7857142857142857,1.0,0.6263736263736264,0.9129159760295804,1.0,0.7064419519642963,0.0,1.0,0.0,0.9215686274509806,0.4166666666666667,,,
DPMD Jayawardene (SL),2007-2014,0.7575757575757576,0.8333333333333333,0.3571428571428571,0.8779296875,0.7472527472527473,0.37192400867015174,0.8498694516971279,0.726642785835927,0.5,0.42857142857142855,0.2,1.0,0.3666666666666667,,,
CH Gayle (WI),2007-2021,0.8181818181818181,0.8333333333333333,0.21428571428571427,0.828125,0.9340659340659341,0.3131454800459008,0.7480417754569191,0.7736801926126021,1.0,0.5,0.2,0.6764705882352942,1.0,,,
RG Sharma (IND),2007-2022,1.0,1.0,0.5714285714285714,0.826171875,0.5164835164835164,0.31225296442687744,0.8485639686684072,0.6863585648012215,0.0,0.6428571428571428,0.2,0.8039215686274511,0.5333333333333333,,,
TM Dilshan (SL),2007-2016,0.8787878787878787,0.9333333333333333,0.3571428571428571,0.76171875,0.7032967032967032,0.268137192400867,0.8093994778067886,0.6639262434670269,0.0,0.42857142857142855,1.0,0.9019607843137257,0.2833333333333333,,,
DA Warner (AUS),2009-2022,0.8484848484848484,0.9333333333333333,0.14285714285714285,0.6728515625,0.6263736263736264,0.19482340940966467,0.6553524804177546,0.7177168359856716,0.0,0.42857142857142855,0.4,0.7549019607843139,0.4666666666666666,,,
JC Buttler (ENG),2012-2022,0.6363636363636365,0.7,0.5714285714285714,0.666015625,0.7582417582417582,0.4099196735942878,0.5874673629242819,0.7838393329026954,0.5,0.2857142857142857,0.2,0.5882352941176472,0.5,,,
Shakib Al Hasan (BAN),2007-2022,0.909090909090909,1.0,0.3571428571428571,0.6103515625,0.5714285714285714,0.1788856304985337,0.6566579634464751,0.6544130600739915,0.0,0.21428571428571427,0.4,0.5196078431372549,0.3333333333333333,,,
AB de Villiers (SA),2007-2016,0.7272727272727273,0.7666666666666666,0.3571428571428571,0.5859375,0.5164835164835164,0.254621955884228,0.5182767624020888,0.7774972106406719,0.0,0.3571428571428571,0.0,0.41176470588235303,0.45,,,
KS Williamson (NZ),2012-2022,0.5757575757575757,0.6000000000000001,0.21428571428571427,0.568359375,0.5824175824175826,0.29810021675379317,0.6671018276762402,0.6039109753949147,0.0,0.21428571428571427,0.2,0.5784313725490197,0.18333333333333335,,,
KC Sangakkara (SL),2007-2014,0.7575757575757576,0.8,0.2857142857142857,0.53125,0.3956043956043956,0.1978834629606018,0.6344647519582245,0.5943977920018791,0.0,0.2857142857142857,0.4,0.5294117647058825,0.1333333333333333,,,
Shoaib Malik (PAK),2007-2021,0.8484848484848484,0.8333333333333333,0.8571428571428571,0.5166015625,0.2747252747252747,0.30728037740660463,0.5496083550913837,0.6593458218333432,0.0,0.21428571428571427,0.0,0.3725490196078432,0.23333333333333334,,,
BB McCullum (NZ),2007-2014,0.5757575757575757,0.6333333333333333,0.21428571428571427,0.5078125,1.0,0.2428917506056356,0.5130548302872062,0.6895296259322332,0.5,0.14285714285714285,0.4,0.5686274509803922,0.26666666666666666,,,
MJ Guptill (NZ),2009-2021,0.6666666666666667,0.7,0.14285714285714285,0.48828125,0.6703296703296704,0.1884482978452123,0.5704960835509139,0.6063186329203124,0.0,0.14285714285714285,0.0,0.5098039215686275,0.3333333333333333,,,
Yuvraj Singh (IND),2007-2016,0.7575757575757576,0.7333333333333334,0.21428571428571427,0.46484375,0.4175824175824176,0.1762080836414637,0.4660574412532637,0.6924070702918551,0.0,0.2857142857142857,0.0,0.2843137254901961,0.5,,,
KP Pietersen (ENG),2007-2010,0.27272727272727276,0.3,0.14285714285714285,0.4521484375,0.5164835164835164,0.442560244804284,0.3759791122715405,0.8064478242997242,0.0,0.2857142857142857,0.0,0.5000000000000001,0.23333333333333334,,,
AD Hales (ENG),2012-2022,0.42424242424242425,0.4666666666666666,0.14285714285714285,0.4404296875,0.9230769230769231,0.276042330740788,0.3981723237597911,0.7528921251981914,0.5,0.21428571428571427,0.6000000000000001,0.5000000000000001,0.2833333333333333,,,
JP Duminy (SA),2007-2016,0.5757575757575757,0.5666666666666667,0.6428571428571428,0.4404296875,0.5934065934065935,0.39104934336350883,0.4373368146214099,0.6969287685712608,0.0,0.14285714285714285,0.4,0.2745098039215687,0.3333333333333333,,,
LRPL Taylor (NZ),2007-2016,0.6666666666666667,0.6333333333333333,0.3571428571428571,0.4345703125,0.32967032967032966,0.2320540609460666,0.43994778067885115,0.6854189911327735,0.0,0.21428571428571427,0.2,0.22549019607843143,0.3333333333333333,,,
EJG Morgan (ENG),2009-2021,0.696969696969697,0.7,0.42857142857142855,0.4248046875,0.42857142857142866,0.2088486548514599,0.45561357702349875,0.6525339127370956,0.0,0.21428571428571427,0.4,0.3137254901960785,0.2833333333333333,,,
Shahid Afridi (PAK),2007-2016,0.8484848484848484,0.8666666666666667,0.21428571428571427,0.4189453125,0.24175824175824173,0.11373199030983042,0.3276762402088773,0.8410946033237419,0.0,0.14285714285714285,1.0,0.3921568627450982,0.3,,,
SR Watson (AUS),2007-2016,0.5454545454545454,0.5333333333333332,0.21428571428571427,0.41015625,0.5384615384615385,0.2340940966466913,0.3629242819843342,0.7630512654882847,0.0,0.3571428571428571,0.2,0.3137254901960785,0.4666666666666666,,,
MN Samuels (WI),2007-2016,0.42424242424242425,0.4333333333333333,0.14285714285714285,0.4033203125,0.5824175824175826,0.27119724595180417,0.46344647519582244,0.6149509659991779,0.0,0.2857142857142857,0.0,0.3921568627450982,0.3,,,
DJ Bravo (WI),2007-2021,0.8484848484848484,0.8,0.3571428571428571,0.4033203125,0.3736263736263737,0.14407752135662374,0.41122715404699745,0.6799577191849199,0.0,0.14285714285714285,0.6000000000000001,0.25490196078431376,0.3666666666666667,,,
